date,timestamp,media_type,media_product_type,permalink,caption,views,reach,total_interactions,saved,shares,like_count,comments_count,unavailable_metrics
2026-09-14,2026-09-13T15:26:30+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DdO4SPniAiD/,枚方・宮之阪で、暮らしに馴染む耳かけボブ。  頬に沿う顔まわりと、首元に収まる丸み。 正面・サイド・バックで、長さとシルエットをご確認ください。  片側を耳にかけた時も、自然におろした時も。仕事や子どもとのお出かけに合わせた髪型を、一緒に考えます。 4枚目はAIによるBefore／Afterのデザイン比較です。 次の髪,19,8,2,0,0,1,1,
2026-09-14,2026-09-13T15:25:01+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DdO4HxZl40J/,「短くしたい。でも、朝のセットは増やしたくない」  鏡を見ながら、毛先にそっと触れる。 気になるボブはあるけれど、自分で扱えるかが心配。  普段の乾かし方や朝に使える時間、耳にかける習慣を聞きながら、長さと顔まわりをご相談。仕上がりだけでなく、家での整え方も一緒に確認します。  枚方・宮之阪で、暮らしに合うボブを。 予,21,12,2,0,0,1,1,
2026-09-14,2026-09-13T15:23:05+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DdO35snjWyV/,日曜の朝。お出かけの日も、自分の支度は最後。  「ママ、もう行ける？」 帽子をかぶせて、靴を直して。鏡の前に戻ったら、片側を耳にかけて顔まわりを整える。 休日も、自分の好きな髪で出かけたい。  枚方・宮之阪で考える、暮らしに馴染む耳かけボブ。子どもと歩く時間も、ベンチでひと息つく時間も、私らしく。 次の髪型相談で見せら,27,12,2,0,0,1,1,
2026-09-14,2026-09-12T12:10:07+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DdL9CXNEt2I/,枚方でショートボブパーマを探している方へ。 あご下のコンパクトな長さに、薄い前髪と頬骨につながる顔まわり。重さを残す低めのレイヤーと弱いC〜Sの動きで、耳かけする仕事の日にも馴染むデザインです。  正面・サイド・バック、4枚目のデザイン比較で形をご確認ください。美容室で長さや動きを相談する時に見せられるよう、保存してお,114,44,7,0,0,6,1,
2026-09-14,2026-09-12T04:30:09+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DdLIZZKiUno/,宮之阪でショートボブを相談したい方へ。 軽くしたい。でも、広がって朝の手間が増えるのは不安。  耳かけする時間や、朝に使える時間を先に共有。広がる部分の重さは残し、顔まわりと毛先に必要な動きを考えます。施術中も状態を確認し、家での整え方まで相談する流れです。  気になる方はDMで「ショートボブ相談」と送ってください。 ,119,51,4,0,0,3,1,
2026-09-14,2026-09-12T00:40:08+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DdKuEtKj185/,枚方のショートボブ。耳かけの跡、全部を直そうとしていませんか？  16:42、懇談まであと8分。直す場所を根元と毛先に絞れば、短い時間でも整えやすくなります。 ①跡の根元だけ軽くぬらす30秒 ②根元へ風を当てる90秒 ③少量のバームを毛先へ60秒  仕事のあとも、子どもとの約束に向かう自分を少し整える。次の慌ただしい日,121,46,5,0,0,4,1,
2026-09-14,2026-09-11T12:10:06+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DdJYPaQDBvc/,枚方の朝ラクショートを探している方へ。2026年9月の提案は「耳かけ丸みショート」。頬骨に沿う長めのサイドバング、襟足はタイト、トップは乾かすだけで丸みが出やすい位置に。毛先は強く巻かず、ゆるいC〜Sカールで頑張りすぎない動きを作る設計です。HPBで見られる流しバング、丸み・ひし形、耳かけ、ナチュラルなショート傾向を、,96,40,6,0,0,5,1,
2026-09-14,2026-09-11T04:30:17+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DdIjnjxjiym/,宮之阪でショートを相談したい方へ。短くしたい。でも、朝はねた時に直せるか不安。扱いやすさは、ただ短くすることではなく、襟足の収まりと重さの位置、頬骨に沿う顔まわりを先に決めることで変わります。施術中も髪の反応を確認し、家で再現する3手順まで共有。今回は1〜4枚目がBefore設計、5枚目だけがAfterです。不安はDM,165,67,7,0,0,6,1,
2026-09-14,2026-09-11T00:20:08+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DdIG_YagXDc/,枚方で働くママへ。朝7:18、出発まであと5分。全部を濡らして巻き直す余裕がない朝でも、襟足だけ30秒濡らし、根元を逆方向へ90秒乾かし、毛先へバームを60秒。丸みショートなら、直す場所を絞って整えやすくなります。「短くしたら朝が大変そう」と迷う方へ。次の慌ただしい朝に見返せるよう保存してください。※画像はAI仕上がり,268,98,7,0,0,6,1,
2026-09-14,2026-09-10T12:10:07+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DdGzcnQgByV/,胸上のバタフライレイヤーに、頬骨・あごからつながる顔まわりと、大きめのデジタルパーマ。  正面は流れるシアーバング、横は中間からのSウェーブ、後ろは長さを残しながら毛先に動きが集まる設計です。送迎や仕事中は低めに結び、帰宅後はほどいても柔らかな毛流れを楽しめます。  美容室で長さ・顔まわり・カール感を相談する時に見せら,153,65,8,0,0,7,1,
