date,timestamp,media_type,media_product_type,permalink,caption,views,reach,total_interactions,saved,shares,like_count,comments_count,unavailable_metrics
2026-08-31,2026-08-30T12:10:08+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DcqetF1jmy8/,朝、髪に時間をかけられない。 でも、ちゃんと可愛くいたい。  そんな働くママにおすすめのロングレイヤー。  長さと重さを残しながら、顔まわりと毛先にやわらかな動きをつくることで、乾かすだけでもラフにまとまりやすくなります。  仕事の日はオイルをなじませるだけ。 休日は耳かけやひとつ結びでも自然な抜け感に。 子ども優先の,51,18,1,0,0,1,0,
2026-08-31,2026-08-30T03:20:19+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DcpiEoVgukO/,朝5分で、やわらかく動くロングレイヤー。  朝、髪に時間をかけられない。 でも、頑張りすぎずにちゃんと可愛くいたい。  そんな働くママにおすすめなのが、重さを残したロングレイヤーです。  顔まわりから毛先へ自然につながる段差をつくることで、乾かすだけでもやわらかな動きが出やすくなります。  片耳かけ、両耳かけ、前髪アレ,104,39,2,0,0,1,1,
2026-08-31,2026-08-29T23:00:47+0000,VIDEO,REELS,https://www.instagram.com/reel/DcpEVgdDFGT/,朝、髪に時間をかけられない。 でも、ちゃんと可愛くいたい。  そんな働くママにおすすめのロングレイヤー。  重さを残しながら、顔まわりと毛先にやわらかな動きをつくることで、乾かすだけでもラフにまとまりやすくなります。  結んだ日も顔まわりが寂しく見えにくく、仕事の日も休日も扱いやすいデザインです。  頑張って整えるより,68,45,3,0,0,2,1,
2026-08-31,2026-08-29T12:10:08+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/Dcn56NCD8JZ/,夜の3分で、翌朝の広がりを減らす方法。 ①こすらず水分オフ ②根元から乾かす ③前髪は乾く前に整える ④オイルは内側と毛先から。 朝は寝ぐせ部分だけ軽く濡らし、手ぐしで乾かせばOKです。 今夜見返せるように保存しておいてください。 #枚方美容室 #宮之阪美容室 #ヘアケア方法 #朝ラクヘア ##パーマスタイリンク,82,22,1,0,0,1,0,
2026-08-31,2026-08-29T09:00:10+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DcnkK3ajZ20/,「このロングパーマ、私に似合う？」 正面・横・後ろだけでなく、仕事、休日、子育て中の扱いやすさまでまとめました。 濡れたような束感と顔まわりのやわらかさで、長さを残しても重く見えにくいデザインです。 気になるページを保存して、次回の髪型相談にお使いください。 #枚方美容室 #宮之阪美容室 #ロングヘア #顔まわりレイヤ,86,28,1,0,0,1,0,
2026-08-31,2026-08-28T23:00:56+0000,VIDEO,REELS,https://www.instagram.com/reel/DcmfizHgmHG/,濡れたような束感と、乾かすだけでやわらかく動くロングパーマ。 顔まわりのレイヤーで、重く見えやすい長さも軽やかな印象に。 仕事の日は耳にかけてすっきり。休日はそのままラフになじみます。 朝のスタイリングを頑張りすぎたくない方におすすめです。 #枚方美容室 #宮之阪美容室 #ロングパーマ #朝ラクヘア #働くママヘア,53,37,2,0,0,1,1,
2026-08-31,2026-08-28T12:10:08+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DclVHW1lean/,夜の3分で、翌朝の広がりを減らす方法。 ①こすらず水分オフ ②根元から乾かす ③前髪は乾く前に整える ④オイルは内側と毛先から。 朝は寝ぐせ部分だけ軽く濡らし、手ぐしで乾かせばOKです。 今夜見返せるように保存しておいてください。 #枚方美容室 #宮之阪美容室 #ヘアケア方法 #朝ラクヘア #パーマスタイリング,90,36,2,0,0,2,0,
2026-08-31,2026-08-28T11:36:33+0000,VIDEO,REELS,https://www.instagram.com/reel/DclROKLCF0g/,顔まわりのレイヤーで、乾かすだけでもやわらかく動くニュアンスパーマ。 重く見えやすいミディアムも、頬から毛先へ流れる束感で軽やかな印象に。 耳にかければ仕事の日もすっきり。下ろせば休日のラフな雰囲気になじみます。 朝のスタイリングを頑張りすぎたくない方におすすめです。 #枚方美容室 #宮之阪美容室 #ニュアンスパーマ ,35,27,2,0,0,2,0,
2026-08-31,2026-08-28T11:36:17+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DclRPYMAova/,「このパーマ、私に似合う？」 正面・横・後ろだけでなく、仕事、休日、子育て中の扱いやすさまでまとめました。 顔まわりのレイヤーと自然な束感で、きれいめにもカジュアルにもなじむデザインです。 気になるページを保存して、次回の髪型相談にお使いください。 #枚方美容室 #宮之阪美容室 #ミディアムヘア #顔まわりレイヤー #,69,28,1,0,0,1,0,
2026-08-31,2026-08-27T12:10:01+0000,VIDEO,REELS,https://www.instagram.com/reel/DciwZtljTcB/,夜の3分で、朝の広がりを減らす方法。  ① タオルでこすらず、毛先を包んで水分オフ ② 根元から先に、風を上から当てて乾かす ③ 前髪と顔まわりは乾ききる前に整える ④ オイルは1〜2プッシュ。内側と毛先から  翌朝は寝ぐせ部分だけ軽く濡らし、手ぐしで乾かせばOKです。 今夜見返せるように保存しておいてください。  #,75,49,2,0,0,2,0,
