date,timestamp,media_type,media_product_type,permalink,caption,views,reach,total_interactions,saved,shares,like_count,comments_count,unavailable_metrics
2026-09-05,2026-09-04T12:10:06+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/Dc3WrRuFX0B/,※AI仕上がりイメージです。  宮之阪で、朝ラクなボブパーマを相談したい方へ。 髪質・毛量・カラー履歴を確認し、強く巻かなくても丸みと動きが出る方法を考えます。  予約前でも大丈夫です。DMで「朝ラク相談」と送り、希望の長さと今のお悩みを教えてください。  📍京阪宮之阪駅 徒歩1分  #宮之阪美容室 #枚方美容室 #ボ,59,25,0,0,0,0,0,
2026-09-05,2026-09-04T09:30:07+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/Dc3EXeej7nD/,※AI仕上がりイメージです。  働くママの髪型は、「結べる長さ」だけでは決まりません。 普段どの高さで結ぶか、顔まわりを残したいか、抱っこの時に邪魔にならないか。生活に合わせて設計すると、朝の迷いが減ります。  毎日結ぶ方も、遠慮なくカウンセリングで教えてください。  #働くママヘア #結べる髪型 #朝ラクヘア #枚方,55,24,0,0,0,0,0,
2026-09-05,2026-09-04T04:30:08+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/Dc2iCX3jWpD/,※AI仕上がりイメージです。  枚方でミディアムウルフや柔らかなパーマを探している方へ。 大切なのは、軽くすることより「軽くする場所」。顔まわりと表面に動きをつくり、毛先の重さを残すと、朝も広がりにくくなります。  保存して、カウンセリングで見せてください。  #枚方美容室 #宮之阪美容室 #ミディアムウルフ #ミディ,53,27,1,0,0,1,0,
2026-09-05,2026-09-04T04:30:08+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/Dc2iCX8DAM9/,※AI仕上がりイメージです。  枚方でミディアムウルフや柔らかなパーマを探している方へ。 大切なのは、軽くすることより「軽くする場所」。顔まわりと表面に動きをつくり、毛先の重さを残すと、朝も広がりにくくなります。  保存して、カウンセリングで見せてください。  #枚方美容室 #宮之阪美容室 #ミディアムウルフ #ミディ,50,25,2,0,0,1,1,
2026-09-05,2026-09-04T02:51:28+0000,VIDEO,REELS,https://www.instagram.com/reel/Dc2Wsn1DkqK/,※AI仕上がりイメージです。  「パーマはしたい。でも仕事や家事では結びたい」方へ。 結べる長さを残し、顔まわりと毛先だけに柔らかな動きをつくると、ひとつ結びの日も下ろす日も扱いやすくなります。  髪質・ダメージ履歴によって適した強さは変わります。DMで「朝ラク相談」と送ってください。  #ミディアムパーマ #結べる髪,59,44,3,0,0,2,1,
2026-09-05,2026-09-04T02:45:57+0000,VIDEO,REELS,https://www.instagram.com/reel/Dc2WEj8gL7T/,※AI仕上がりイメージです。  枚方で、朝のスタイリングをラクにしたい方へ。 丸みを残したショートボブは、乾かすだけでも形が崩れにくく、耳かけも自然です。  髪質や襟足の生え方に合わせて、重さと軽さを調整します。予約前の相談は、DMで「朝ラク相談」と送ってください。  📍京阪宮之阪駅 徒歩1分  #枚方美容室 #宮之阪,27,21,3,0,0,2,1,
2026-09-05,2026-09-02T23:06:08+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DczYKX4lDhG/,※AI仕上がりイメージです。  「パーマをかけたら、広がりそう。」 そんな不安がある方へ。  朝ラクにしたいからといって、動きを強くする必要はありません。  大切なのは、毛先の重さを残しながら、中間から毛先に大きく柔らかな動きをつくること。顔まわりだけ軽さを加えると、横に広がりにくく、乾かしたときも自然にまとまります。,103,42,5,0,0,5,0,
2026-09-05,2026-09-01T12:10:37+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DcvoWcPiSjD/,※AI仕上がりイメージです。  朝ラクパーマ、私の髪でもできる？  実は、強く巻けばラクになるわけではありません。  大切なのは、髪質・ダメージ履歴・結ぶ頻度に合わせて、先にベースカットを整えること。乾かしたときに自然に収まり、必要なところだけ柔らかく動くように設計します。  「パーマがかかりにくい」 「広がるのが不安,203,82,4,0,0,2,2,
2026-09-05,2026-08-31T12:10:19+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DctDhVJgvE4/,「朝の支度は短くしたい。 でも、ただ短いだけの髪にはしたくない。」  そんな方に似合う、頑張りすぎないニュアンスボブです。  乾かすだけで丸くおさまる形。 眼鏡にもなじむ薄めの前髪。 仕事の日は耳にかけて、休日は帽子をプラス。  毎日の生活に無理なくなじむことを、一番大切にしています。  保存して、次の髪型相談に使って,143,70,5,0,0,4,1,
2026-09-05,2026-08-31T03:20:08+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DcsG2E4EXsp/,眼鏡にもなじむ、やわらかボブ。  正面・横・後ろだけでなく、 片耳かけ、両耳かけ、前髪アレンジ、帽子の日までまとめました。  ボブは長さが同じでも、前髪と顔まわり、毛先の動きで印象が変わります。 仕事の日はきちんと、休日は少しラフに。 一つの髪型で無理なく雰囲気を変えたい方におすすめです。  気になるページを保存して、,188,71,7,1,0,5,1,
